2022-05-01 17:49:05 [debug]: 	attempting submition of transaction: {"TransactionType":"AccountSet","Account":"rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu","Fee":"12","Sequence":26952154,"SetFlag":5,"Domain":"40786E66743A0A697066733A6261666B726569667372736B6C65676B3472336A66743466756377766F34707A7A77637A6A65637366673571726A677032617265766E656C3265650A687474703A6E66742E78727066732E636F6D0A"} 
2022-05-01 17:49:05 [debug]: 	tentative message: The transaction was applied. Only final in a validated ledger. 
2022-05-01 17:49:05 [info]: 	tx status code: tesSUCCESS , tx hash 82E2E9084FD6D7E866A53EB4A5F6053704BEF5D6058510DC015054B2D33C7E8E 
2022-05-01 17:49:05 [info]: 	Validate your NFT data is live (IPFS)(Base Dir): ipfs://bafkreifsrsklegk4r3jft4fucwvo4pzzwczjecsfg5qrjgp2arevnel2ee/ 
2022-05-01 17:49:05 [info]: 	Validate your NFT base folder is live: https://gateway.ipfs.io/ipfs/bafkreifsrsklegk4r3jft4fucwvo4pzzwczjecsfg5qrjgp2arevnel2ee  
2022-05-01 17:49:05 [info]: 	See your Testnet NFT wallet here: https://testnet.xrpl.org/accounts/rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu 
2022-05-01 17:49:05 [info]: 	 
2022-05-01 17:49:05 [warn]: 	Script is set to end in 30 minutes 
2022-05-03 05:20:55 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:20:55 [info]: 	[object Object] 
2022-05-03 05:20:55 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555255620 
2022-05-03 05:20:55 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555255620' 
2022-05-03 05:20:55 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555255620' 
2022-05-03 05:20:55 [info]: 	 
2022-05-03 05:20:55 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:20:55 [info]: 	adding '/example1651555255620/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:20:55 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-03 05:20:59 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-03 05:21:35 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:21:35 [info]: 	[object Object] 
2022-05-03 05:21:35 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555295072 
2022-05-03 05:21:35 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555295072' 
2022-05-03 05:21:35 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555295072' 
2022-05-03 05:21:35 [info]: 	 
2022-05-03 05:21:35 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:21:35 [info]: 	adding '/example1651555295072/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:21:35 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-03 05:21:36 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-03 05:22:42 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:22:42 [info]: 	[object Object] 
2022-05-03 05:22:42 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555362342 
2022-05-03 05:22:42 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555362342' 
2022-05-03 05:22:42 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555362342' 
2022-05-03 05:22:42 [info]: 	 
2022-05-03 05:22:42 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:22:42 [info]: 	adding '/example1651555362342/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:22:42 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-03 05:22:44 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-03 05:23:13 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:23:13 [info]: 	[object Object] 
2022-05-03 05:23:13 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555393629 
2022-05-03 05:23:13 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555393629' 
2022-05-03 05:23:13 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555393629' 
2022-05-03 05:23:13 [info]: 	 
2022-05-03 05:23:13 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:23:13 [info]: 	adding '/example1651555393629/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:23:13 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-03 05:23:19 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-03 05:23:54 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:23:54 [info]: 	[object Object] 
2022-05-03 05:23:54 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555434831 
2022-05-03 05:23:54 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555434831' 
